Input,Expected Output
27 * 29,783
96 + 15,111
28 - 95,-67
78 + 32,110
64 - 75,-11
47 / 38,1.24
50 / 95,0.53
57 - 39,18
46 + 39,85
1 - 58,-57
65 + 86,151
26 * 41,1066
51 / 98,0.52
56 / 22,2.55
17 / 87,0.2
81 / 3,27.0
30 / 64,0.47
42 - 50,-8
76 * 57,4332
92 - 75,17
24 * 87,2088
35 - 92,-57
71 / 43,1.65
19 * 21,399
61 * 40,2440
66 / 40,1.65
47 - 91,-44
66 * 60,3960
52 - 48,4
42 / 74,0.57
69 * 96,6624
99 - 44,55
90 / 13,6.92
45 * 30,1350
39 - 98,-59
72 * 64,4608
54 - 92,-38
5 * 3,15
62 / 8,7.75
3 + 44,47
41 + 18,59
33 * 11,363
14 * 26,364
15 / 93,0.16
15 + 52,67
75 - 85,-10
82 - 19,63
79 * 32,2528
39 - 52,-13
28 * 53,1484
21 / 81,0.26
65 * 42,2730
25 + 67,92
80 + 45,125
76 - 93,-17
45 * 56,2520
54 + 91,145
67 + 55,122
7 * 61,427
39 / 90,0.43
8 - 88,-80
88 / 1,88.0
76 * 88,6688
96 + 3,99
55 + 32,87
10 + 6,16
74 / 38,1.95
11 - 84,-73
70 - 3,67
16 * 36,576
3 + 18,21
38 / 67,0.57
94 / 36,2.61
19 * 55,1045
23 / 25,0.92
21 / 28,0.75
75 + 79,154
59 * 18,1062
51 + 49,100
9 - 15,-6
91 - 2,89
1 / 21,0.05
20 * 32,640
97 - 30,67
77 / 8,9.62
95 * 66,6270
42 - 1,41
47 + 23,70
62 + 7,69
93 * 28,2604
59 + 56,115
80 * 1,80
83 * 94,7802
40 * 34,1360
52 + 22,74
25 - 22,3
73 - 75,-2
27 - 81,-54
49 + 6,55
8 - 78,-70
2 * 94,188
81 * 22,1782
53 * 74,3922
98 + 37,135
37 + 40,77
85 + 30,115
58 * 19,1102
17 + 36,53
47 / 36,1.31
13 - 46,-33
58 - 24,34
99 + 31,130
25 + 34,59
82 + 18,100
49 / 76,0.64
31 / 56,0.55
15 * 47,705
33 * 91,3003
34 + 50,84
40 / 68,0.59
54 / 30,1.8
96 + 82,178
85 - 67,18
14 + 66,80
72 * 38,2736
26 * 59,1534
95 / 43,2.21
81 * 86,6966
9 * 21,189
77 / 20,3.85
45 - 7,38
51 + 52,103
15 / 50,0.3
54 + 35,89
23 * 73,1679
30 + 44,74
7 + 78,85
21 + 63,84
99 + 80,179
16 + 72,88
31 * 35,1085
69 + 99,168
67 + 41,108
56 + 85,141
63 - 34,29
68 / 67,1.01
65 - 39,26
65 * 74,4810
34 + 73,107
86 * 27,2322
48 / 57,0.84
69 / 20,3.45
48 / 6,8.0
14 - 31,-17
63 * 41,2583
77 * 4,308
42 + 81,123
40 * 31,1240
15 / 49,0.31
78 - 75,3
84 / 45,1.87
61 / 11,5.55
64 / 2,32.0
64 / 56,1.14
64 + 46,110
7 - 97,-90
83 - 36,47
69 - 4,65
81 + 32,113
93 / 99,0.94
5 / 88,0.06
61 - 38,23
9 / 63,0.14
50 + 86,136
78 / 53,1.47
2 * 19,38
28 * 27,756
52 / 71,0.73
5 * 42,210
71 - 16,55
48 + 96,144
4 + 41,45
7 - 30,-23
58 + 5,63
56 / 39,1.44
38 / 42,0.9
92 / 69,1.33
81 - 79,2
37 / 69,0.54
94 / 39,2.41
71 * 9,639
38 - 7,31
75 * 63,4725
40 + 45,85
63 / 68,0.93
58 - 48,10
26 * 69,1794
9 / 22,0.41
15 - 69,-54
80 - 47,33
81 * 21,1701
27 * 87,2349
53 - 48,5
12 * 32,384
77 * 65,5005
45 / 63,0.71
20 * 84,1680
46 + 10,56
98 / 55,1.78
81 + 56,137
10 - 65,-55
7 - 13,-6
59 - 90,-31
64 - 73,-9
86 + 86,172
41 - 59,-18
79 + 38,117
84 * 8,672
97 * 33,3201
3 + 73,76
97 * 69,6693
3 / 77,0.04
87 / 70,1.24
48 / 64,0.75
15 * 46,690
14 * 56,784
38 - 95,-57
86 - 6,80
88 * 98,8624
71 + 8,79
8 + 38,46
3 - 49,-46
6 - 23,-17
69 * 46,3174
60 * 86,5160
75 / 18,4.17
39 - 48,-9
52 + 37,89
91 / 92,0.99
56 * 17,952
62 * 11,682
48 / 24,2.0
74 * 21,1554
24 + 74,98
26 + 18,44
12 - 91,-79
34 * 92,3128
35 * 61,2135
88 + 94,182
44 / 77,0.57
95 * 49,4655
97 / 83,1.17
90 + 68,158
31 * 47,1457
55 / 27,2.04
99 / 28,3.54
48 - 6,42
99 + 97,196
54 * 54,2916
53 * 80,4240
41 + 3,44
67 * 83,5561
25 / 16,1.56
44 / 94,0.47
97 * 94,9118
70 + 11,81
2 - 10,-8
84 - 43,41
32 / 42,0.76
75 + 44,119
73 / 22,3.32
73 / 33,2.21
7 - 97,-90
41 - 15,26
64 - 62,2
89 + 41,130
5 * 35,175
77 + 76,153
82 * 59,4838
64 + 50,114
76 - 83,-7
36 + 80,116
80 / 46,1.74
34 * 60,2040
82 - 7,75
42 / 48,0.88
47 - 4,43
74 + 66,140
28 - 97,-69
29 + 96,125
15 + 58,73
74 * 31,2294
41 + 50,91
6 - 28,-22
99 + 43,142
8 - 46,-38
10 / 45,0.22
38 - 81,-43
98 * 30,2940
46 + 66,112
59 - 61,-2
91 + 36,127
39 - 45,-6
61 - 12,49
97 + 18,115
24 / 25,0.96
26 / 97,0.27
79 + 55,134
59 * 92,5428
20 / 55,0.36
86 - 55,31
34 + 95,129
15 - 43,-28
15 / 38,0.39
29 / 18,1.61
91 * 35,3185
43 + 81,124
67 * 55,3685
47 + 66,113
18 + 78,96
43 / 73,0.59
56 - 96,-40
60 + 51,111
77 * 65,5005
5 * 13,65
74 + 13,87
53 + 27,80
68 * 57,3876
70 / 96,0.73
25 * 25,625
89 * 61,5429
26 + 54,80
3 / 92,0.03
14 + 74,88
36 * 77,2772
12 / 24,0.5
92 - 57,35
68 / 35,1.94
79 - 22,57
69 * 4,276
4 - 64,-60
25 + 45,70
37 + 89,126
70 + 23,93
3 + 76,79
44 + 65,109
14 - 56,-42
82 + 84,166
15 + 78,93
22 + 76,98
55 * 27,1485
72 / 84,0.86
20 * 3,60
38 * 58,2204
40 / 11,3.64
1 * 64,64
3 + 51,54
22 - 73,-51
67 / 20,3.35
84 / 58,1.45
15 * 97,1455
60 + 67,127
49 - 25,24
96 * 18,1728
41 / 31,1.32
54 + 57,111
42 + 24,66
20 * 79,1580
1 / 70,0.01
56 - 44,12
88 - 13,75
53 + 95,148
25 - 82,-57
3 * 50,150
57 / 71,0.8
47 / 33,1.42
86 / 39,2.21
29 + 28,57
44 + 10,54
52 - 76,-24
27 - 24,3
64 + 3,67
77 + 73,150
7 * 71,497
19 + 56,75
26 - 27,-1
90 + 23,113
77 / 48,1.6
61 - 13,48
3 / 40,0.07
2 - 10,-8
39 / 72,0.54
60 - 8,52
41 * 62,2542
10 * 96,960
1 / 27,0.04
91 + 93,184
25 / 32,0.78
76 - 53,23
4 * 1,4
43 / 62,0.69
50 / 4,12.5
12 * 63,756
45 * 20,900
49 / 73,0.67
94 / 47,2.0
61 + 18,79
66 + 11,77
19 / 30,0.63
35 / 60,0.58
9 - 58,-49
38 + 80,118
46 / 68,0.68
86 / 81,1.06
46 / 57,0.81
75 * 10,750
97 / 29,3.34
70 * 36,2520
43 - 96,-53
52 + 74,126
91 * 11,1001
44 - 97,-53
55 / 53,1.04
49 + 32,81
35 * 4,140
84 * 65,5460
73 / 83,0.88
16 / 64,0.25
74 / 81,0.91
8 + 42,50
79 - 91,-12
77 - 35,42
63 / 30,2.1
64 / 69,0.93
69 * 34,2346
64 + 63,127
94 * 47,4418
89 + 91,180
92 + 65,157
30 * 93,2790
19 + 84,103
48 - 80,-32
67 / 50,1.34
18 * 35,630
89 / 81,1.1
91 / 89,1.02
79 * 54,4266
34 / 54,0.63
26 - 47,-21
75 / 57,1.32
88 / 47,1.87
67 + 32,99
9 + 68,77
88 / 31,2.84
58 - 67,-9
18 * 31,558
68 * 73,4964
59 * 74,4366
3 / 92,0.03
78 / 85,0.92
40 / 60,0.67
22 * 89,1958
11 + 59,70
18 / 31,0.58
94 - 90,4
53 - 29,24
30 - 21,9
60 - 11,49
44 + 38,82
88 / 90,0.98
35 / 81,0.43
39 - 32,7
91 * 43,3913
14 - 72,-58
72 / 85,0.85
8 - 20,-12
60 + 18,78
3 - 42,-39
82 / 46,1.78
38 + 94,132
43 / 40,1.07
96 - 23,73
36 / 85,0.42
54 + 93,147
64 * 7,448
88 * 38,3344
97 * 98,9506
54 / 84,0.64
84 * 71,5964
90 / 21,4.29
21 / 11,1.91
99 - 31,68
3 / 84,0.04
66 + 32,98
37 + 22,59
86 / 30,2.87
40 * 7,280
73 - 78,-5
11 * 13,143
76 - 82,-6
98 - 46,52
74 * 96,7104
40 / 12,3.33
30 / 66,0.45
15 / 58,0.26
34 / 16,2.12
78 + 6,84
36 - 82,-46
6 + 21,27
68 * 86,5848
73 * 24,1752
32 * 62,1984
71 + 44,115
38 * 20,760
57 * 34,1938
42 + 10,52
7 + 85,92
22 / 9,2.44
16 - 41,-25
94 - 56,38
6 / 48,0.12
78 - 12,66
80 - 85,-5
44 * 56,2464
98 * 21,2058
42 + 46,88
87 - 49,38
84 * 41,3444
1 / 78,0.01
52 * 86,4472
74 + 35,109
96 + 48,144
8 * 67,536
9 - 96,-87
27 + 74,101
76 / 7,10.86
89 + 21,110
35 - 65,-30
64 - 73,-9
3 * 19,57
27 + 21,48
52 - 98,-46
78 * 46,3588
83 * 83,6889
50 - 55,-5
61 + 73,134
49 / 76,0.64
79 - 57,22
54 / 15,3.6
79 + 8,87
45 - 32,13
49 + 7,56
56 * 46,2576
41 / 20,2.05
20 / 63,0.32
84 - 7,77
62 * 24,1488
65 * 44,2860
56 * 26,1456
93 - 76,17
75 * 78,5850
94 + 69,163
93 - 57,36
3 * 20,60
39 + 74,113
46 * 98,4508
12 / 36,0.33
50 - 99,-49
98 * 15,1470
90 + 21,111
11 + 8,19
87 / 33,2.64
71 - 9,62
3 * 30,90
72 * 90,6480
34 * 30,1020
31 - 27,4
71 * 87,6177
22 + 26,48
30 * 53,1590
61 + 7,68
29 / 7,4.14
44 + 72,116
91 * 32,2912
89 * 82,7298
92 * 41,3772
62 + 75,137
63 * 36,2268
61 / 42,1.45
68 / 25,2.72
95 / 11,8.64
10 - 35,-25
57 - 14,43
73 * 84,6132
12 / 62,0.19
79 / 58,1.36
77 / 31,2.48
15 + 39,54
46 / 8,5.75
45 * 84,3780
51 - 95,-44
40 + 37,77
10 + 25,35
51 - 77,-26
72 - 96,-24
85 / 19,4.47
26 / 53,0.49
43 + 52,95
45 - 82,-37
82 / 54,1.52
19 / 64,0.3
89 / 52,1.71
70 + 2,72
70 - 85,-15
58 + 11,69
49 + 12,61
48 / 91,0.53
76 - 80,-4
40 * 81,3240
61 - 86,-25
67 * 41,2747
85 / 56,1.52
93 * 20,1860
97 + 51,148
48 / 39,1.23
13 * 84,1092
25 * 6,150
16 - 2,14
40 + 83,123
74 * 32,2368
96 * 87,8352
7 - 99,-92
39 - 30,9
13 + 75,88
83 + 20,103
5 - 68,-63
3 / 31,0.1
89 + 38,127
78 - 19,59
4 / 69,0.06
87 / 9,9.67
62 + 27,89
69 + 99,168
94 + 85,179
7 - 31,-24
76 + 63,139
23 / 71,0.32
8 * 46,368
61 - 42,19
60 / 55,1.09
88 + 85,173
34 + 74,108
72 - 50,22
34 + 81,115
33 - 21,12
45 - 24,21
37 * 63,2331
97 * 18,1746
20 - 4,16
91 * 12,1092
23 * 47,1081
79 * 65,5135
18 * 76,1368
59 + 28,87
65 + 74,139
97 / 12,8.08
2 + 98,100
96 * 13,1248
41 / 94,0.44
62 - 6,56
33 - 87,-54
18 - 35,-17
68 / 76,0.89
58 - 23,35
29 - 32,-3
89 - 77,12
11 * 47,517
89 + 24,113
56 * 54,3024
13 - 23,-10
31 + 38,69
72 + 41,113
81 - 90,-9
7 / 39,0.18
96 / 29,3.31
67 * 30,2010
65 + 60,125
46 * 38,1748
83 * 77,6391
33 / 76,0.43
81 - 68,13
28 - 20,8
50 - 64,-14
83 - 88,-5
26 / 42,0.62
41 / 27,1.52
52 + 14,66
95 - 14,81
12 - 81,-69
21 + 63,84
77 - 62,15
63 / 30,2.1
36 + 99,135
52 / 97,0.54
94 * 53,4982
86 + 98,184
66 - 96,-30
55 * 4,220
86 + 81,167
46 - 50,-4
10 + 99,109
4 * 90,360
22 + 81,103
40 * 90,3600
14 * 81,1134
23 - 42,-19
54 * 89,4806
5 * 10,50
40 + 18,58
57 / 60,0.95
20 - 92,-72
7 / 72,0.1
82 / 60,1.37
53 - 54,-1
3 + 85,88
63 + 3,66
12 / 58,0.21
51 * 16,816
62 - 83,-21
97 - 54,43
68 + 29,97
7 + 26,33
19 + 37,56
28 - 15,13
71 * 74,5254
91 + 80,171
44 * 71,3124
56 / 37,1.51
37 / 34,1.09
81 * 40,3240
68 * 14,952
53 * 4,212
54 / 48,1.12
68 * 43,2924
38 - 2,36
20 * 76,1520
6 * 41,246
1 * 61,61
55 - 73,-18
86 * 72,6192
43 - 62,-19
70 / 68,1.03
39 - 26,13
31 / 14,2.21
73 * 31,2263
84 / 13,6.46
45 * 13,585
34 - 34,0
84 + 92,176
21 + 71,92
45 + 18,63
68 * 31,2108
63 * 1,63
50 + 61,111
67 * 17,1139
80 - 31,49
34 * 30,1020
42 - 61,-19
43 * 37,1591
54 + 47,101
52 * 85,4420
27 + 50,77
79 - 90,-11
44 - 12,32
50 / 60,0.83
91 + 88,179
14 * 78,1092
30 * 4,120
78 * 53,4134
60 * 13,780
96 / 88,1.09
30 * 97,2910
94 - 30,64
67 * 85,5695
88 / 34,2.59
69 * 67,4623
82 - 39,43
78 + 79,157
76 * 58,4408
34 * 98,3332
4 * 87,348
47 + 61,108
74 - 54,20
82 / 18,4.56
3 - 36,-33
61 / 12,5.08
64 + 90,154
59 - 14,45
91 * 70,6370
65 * 63,4095
91 - 53,38
21 - 52,-31
93 / 95,0.98
42 + 79,121
46 / 63,0.73
4 + 80,84
41 / 78,0.53
72 * 99,7128
24 - 66,-42
56 * 83,4648
27 - 97,-70
60 - 42,18
74 / 17,4.35
67 * 26,1742
62 - 9,53
4 - 61,-57
3 - 19,-16
49 + 2,51
22 + 96,118
51 * 89,4539
92 + 84,176
86 - 12,74
34 - 96,-62
65 / 78,0.83
24 + 91,115
18 * 33,594
17 + 10,27
1 * 22,22
93 + 44,137
6 - 22,-16
21 * 72,1512
8 / 5,1.6
19 - 64,-45
99 / 45,2.2
3 / 7,0.43
75 * 89,6675
59 - 93,-34
47 / 24,1.96
24 * 40,960
6 / 63,0.1
69 * 48,3312
98 * 67,6566
35 * 45,1575
45 + 50,95
85 - 94,-9
78 * 25,1950
69 - 76,-7
49 * 35,1715
41 + 6,47
68 + 86,154
57 + 69,126
9 * 50,450
49 - 45,4
93 + 58,151
83 * 53,4399
11 / 56,0.2
30 / 68,0.44
59 + 29,88
7 + 83,90
59 + 84,143
4 * 67,268
5 + 47,52
17 - 7,10
37 * 14,518
78 * 35,2730
84 - 61,23
88 - 79,9
57 + 66,123
7 * 68,476
55 + 54,109
85 + 89,174
5 - 35,-30
53 - 61,-8
40 / 1,40.0
3 - 62,-59
56 - 98,-42
76 * 77,5852
80 * 31,2480
29 / 22,1.32
57 - 65,-8
42 * 87,3654
62 + 3,65
38 - 5,33
92 - 86,6
73 * 53,3869
57 + 26,83
85 - 61,24
3 - 20,-17
15 - 56,-41
71 + 60,131
90 / 16,5.62
68 - 7,61
85 * 17,1445
73 - 18,55
2 / 78,0.03
52 / 74,0.7
90 / 48,1.88
41 + 18,59
28 + 59,87
97 + 27,124
55 / 9,6.11
45 / 2,22.5
27 * 1,27
38 * 84,3192
2 * 97,194
67 / 96,0.7
76 + 25,101
16 * 26,416
54 - 46,8
53 / 35,1.51
92 - 87,5
69 + 10,79
3 * 81,243
50 / 55,0.91
91 / 33,2.76
4 / 53,0.08
13 * 62,806
7 / 1,7.0
87 / 2,43.5
62 * 22,1364
95 * 91,8645
41 + 88,129
80 * 32,2560
15 * 8,120
73 + 18,91
94 - 36,58
49 - 2,47
72 + 66,138
26 - 5,21
38 + 6,44
39 - 49,-10
33 * 95,3135
84 + 99,183
39 / 28,1.39
16 / 85,0.19
70 / 95,0.74
67 * 42,2814
44 - 76,-32
43 + 38,81
13 - 78,-65
12 + 5,17
18 / 3,6.0
30 * 11,330
6 - 53,-47
3 / 77,0.04
19 * 2,38
84 * 93,7812
75 / 56,1.34
44 - 38,6
34 - 86,-52
24 + 48,72
53 * 91,4823
65 + 5,70
5 - 34,-29
59 + 73,132
50 / 38,1.32
92 / 89,1.03
46 + 48,94
41 * 70,2870
5 - 47,-42
88 * 92,8096
73 + 61,134
17 / 56,0.3
44 - 88,-44
84 * 29,2436
56 + 34,90
48 / 40,1.2
5 / 36,0.14
70 - 12,58
56 * 73,4088
53 * 50,2650
78 * 78,6084
29 - 62,-33
39 / 12,3.25
97 - 59,38
84 + 35,119
73 + 84,157
13 + 92,105
19 - 54,-35
61 - 89,-28
46 - 48,-2
49 - 12,37
71 * 13,923
29 * 88,2552
52 * 46,2392
87 * 29,2523
74 * 70,5180
38 + 77,115
59 + 19,78
68 / 85,0.8
